,name,best offer,href
0,Creepz Reptile Armoury,0.06,https://opensea.io/collection/reptile-armoury
1,"""MOAR"" by Joan Cornella",0.6,https://opensea.io/collection/official-moar-by-joan-cornella
2,Ringers by Dmitri Cherniak,30.1,https://opensea.io/collection/ringers-by-dmitri-cherniak
3,TBAC,0.1,https://opensea.io/collection/tbac
4,Chimpers Genesis,22,https://opensea.io/collection/chimpersgenesis
5,Minoans of MooBaa,,https://opensea.io/collection/minoans-of-moobaa
6,Creepz Genesis,1.27,https://opensea.io/collection/genesis-creepz
7,gmDAO token,4.8,https://opensea.io/collection/gm-token
8,Dolce&Gabbana: DGFamily,0.27,https://opensea.io/collection/dolce-gabbana-dgfamily
9,Ragnarok Meta,0.18,https://opensea.io/collection/ragnarok-meta
10,CryptoPunks,---,https://opensea.io/collection/cryptopunks
11,Based Ghouls,0.22,https://opensea.io/collection/based-ghouls
12,CryptoPhunks,0.35,https://opensea.io/collection/crypto-phunks
13,Gutter Cat Gang,5.3,https://opensea.io/collection/guttercatgang
14,Nina's Super Cool World,0.57,https://opensea.io/collection/super-cool-world
15,Joker Charlie Club Genesis,---,https://opensea.io/collection/joker-charlie-club-genesis
16,HAPE PRIME,0.85,https://opensea.io/collection/hapeprime
17,CryptoPunks V1 (wrapped),5.45,https://opensea.io/collection/official-v1-punks
18,NeoTokyo Citizens,5.62,https://opensea.io/collection/neotokyo-citizens
19,Rags to Richie by Alec Monopoly,0.48,https://opensea.io/collection/rags-to-richie-by-alec-monopoly
20,Stickmen Toys,0.13,https://opensea.io/collection/stickmentoys
21,Anticyclone by William Mapan,5.2,https://opensea.io/collection/anticyclone-by-william-mapan
22,The GODA Mint Pass,6.5,https://opensea.io/collection/goda-mint-pass
23,Mirror Pass Genesis,0.33,https://opensea.io/collection/mirror-passes
24,CyberKongz,16.81,https://opensea.io/collection/cyberkongz
25,IlluminatiNFT by Truth Labs,1.08,https://opensea.io/collection/illuminaticollective
26,Parallel Alpha,---,https://opensea.io/collection/parallelalpha
27,RTFKT - MNLTH,< 0.01,https://opensea.io/collection/rtfkt-mnlth
28,mfers,1.15,https://opensea.io/collection/mfers
29,Bored Ape Kennel Club,7.41,https://opensea.io/collection/bored-ape-kennel-club
30,Chimpers,1.37,https://opensea.io/collection/chimpersnft
31,VeeFriends,5.9,https://opensea.io/collection/veefriends
32,THE BAPESCLAN GENESIS I,2.24,https://opensea.io/collection/the-bapesclan-genesis
33,Quirkies Originals,0.68,https://opensea.io/collection/quirkiesoriginals
34,FLUF World,2.15,https://opensea.io/collection/fluf
35,10KTF Gucci Grail,1.06,https://opensea.io/collection/10ktf-gucci-grail
36,Bored Ape Yacht Club,79.1,https://opensea.io/collection/boredapeyachtclub
37,Kaiju Kingz,0.43,https://opensea.io/collection/kaiju-kingz
38,MetaHero Universe: Generative Identities,0.8,https://opensea.io/collection/metahero-generative
39,10KTF,0.62,https://opensea.io/collection/10ktf
40,ENS: Ethereum Name Service,---,https://opensea.io/collection/ens
41,Ape Hater Club,0.05,https://opensea.io/collection/apehaterclub
42,Bored & Dangerous,0.34,https://opensea.io/collection/bored-and-dangerous
43,CYBER CREW,2.15,https://opensea.io/collection/cybercrew
44,Admit One,9.11,https://opensea.io/collection/admit-one
45,PREMINT Collector Pass - OFFICIAL,0.67,https://opensea.io/collection/premint-collector
46,RENGA Black Box,0.61,https://opensea.io/collection/renga-black-box
47,BEANZ Official,0.75,https://opensea.io/collection/beanzofficial
48,Dooplicator,0.99,https://opensea.io/collection/the-dooplicator
49,MetalCore Infantry Genesis,0.03,https://opensea.io/collection/metalcore-infantry-genesis
50,CrypToadz by GREMPLIN,1.69,https://opensea.io/collection/cryptoadz-by-gremplin
51,Art Blocks Curated,,https://opensea.io/category/art-blocks
52,Mutant Ape Yacht Club,15.3,https://opensea.io/collection/mutant-ape-yacht-club
53,Chromie Squiggle by Snowfro,7.69,https://opensea.io/collection/chromie-squiggle-by-snowfro
54,DEGEN TOONZ COLLECTION,0.45,https://opensea.io/collection/degentoonz-collection
55,RTFKT X NIKE MONOLITH,1.72,https://opensea.io/collection/rtfktmonolith
56,Cool Cats NFT,2.56,https://opensea.io/collection/cool-cats-nft
57,KINGSHIP,0.12,https://opensea.io/collection/therealkingship
58,10KTF Stockroom,0.12,https://opensea.io/collection/10ktf-stockroom
59,KILLABEARS,1.01,https://opensea.io/collection/killabears
60,Art Blocks Factory,,https://opensea.io/category/art-blocks-factory
61,VeeFriends Series 2,0.38,https://opensea.io/collection/veefriends-series-2
62,CryptoNinja Partners,0.33,https://opensea.io/collection/cryptoninjapartners
63,SuperRare,---,https://opensea.io/collection/superrare
64,Murakami.Flowers Official,1.66,https://opensea.io/collection/murakami-flowers-2022-official
65,adidas Originals Into the Metaverse,0.64,https://opensea.io/collection/adidasoriginals
66,The Sandbox,---,https://opensea.io/collection/sandbox
67,Moonbirds,17.5,https://opensea.io/collection/proof-moonbirds
68,World of Women,2.87,https://opensea.io/collection/world-of-women-nft
69,CyberBrokers,1.71,https://opensea.io/collection/cyberbrokers
70,CryptoDickbutts,1.77,https://opensea.io/collection/cryptodickbutts-s3
71,The Potatoz,1.17,https://opensea.io/collection/thepotatoz
72,Treeverse,,https://opensea.io/category/treeverse
73,CLONE X - X TAKASHI MURAKAMI,7.8,https://opensea.io/collection/clonex
74,goblintown.wtf,1.91,https://opensea.io/collection/goblintownwtf
75,Doodles,8.87,https://opensea.io/collection/doodles-official
76,Pudgy Penguins,1.88,https://opensea.io/collection/pudgypenguins
77,Moonbirds Oddities,0.97,https://opensea.io/collection/moonbirds-oddities
78,Otherdeed for Otherside,2.06,https://opensea.io/collection/otherdeed
79,God Hates NFTees,0.27,https://opensea.io/collection/godhatesnftees
80,Azuki,8.49,https://opensea.io/collection/azuki
81,Ultiverse - Electric Sheep,0.58,https://opensea.io/collection/ultiverse-electric-sheep
82,Decentraland,---,https://opensea.io/collection/decentraland
83,Casual Sloths Official,0.02,https://opensea.io/collection/casual-sloths-official
84,Meebits,4.4,https://opensea.io/collection/meebits
85,mcgoblin.wtf,1.06,https://opensea.io/collection/mcgoblinwtf
86,[ Ledger ] Market Pass - Genesis Edition,0.45,https://opensea.io/collection/ledger-market-pass-genesis-edition
